Descriptor ID,Fitness,Algorithm,Dimen,R2_Train,R2_Valid,R2_Test,RMSE,MAE,Pred Acc
[39_ 85_ 106_ 112_ 125_ 209_ 263_ 272_ 292_ 354_ 356_ 490_ 700],3.3557,BPSO with ANN,13,0.2839,0.2659,0.3693,1.3814,1.1022,0.5493
[39_ 226_ 261_ 288_ 373_ 406_ 521_ 532],2.287,BPSO with ANN,8,0.3208,0.2611,0.3685,1.3823,1.0901,0.5634
[39_ 108_ 115_ 140_ 236_ 239_ 340_ 374],2.3186,BPSO with ANN,8,0.2749,0.2601,0.3612,1.3903,1.1196,0.5211
[39_ 69_ 81_ 113_ 166_ 289_ 292_ 383_ 400_ 839],2.7774,BPSO with ANN,10,0.2133,0.2594,0.3311,1.4227,1.1461,0.493
[39_ 83_ 158_ 276_ 372_ 390_ 458_ 533_ 872_ 928_ 930],2.9003,BPSO with ANN,11,0.3436,0.2536,0.3317,1.422,1.1006,0.5915
[33_ 39_ 69_ 249_ 414_ 415_ 431_ 518],2.3124,BPSO with ANN,8,0.2878,0.2532,0.3379,1.4153,1.1387,0.5211
[39_ 45_ 98_ 138_ 154_ 157_ 163_ 241_ 319_ 345_ 359_ 557],3.1581,BPSO with ANN,12,0.2737,0.2526,0.364,1.3872,1.0999,0.5634
[39_ 46_ 215_ 261_ 285_ 569_ 615],2.1386,BPSO with ANN,7,0.2363,0.2526,0.3707,1.3799,1.1082,0.5352
[3_ 39_ 124_ 160_ 166_ 242_ 276_ 370_ 416_ 437_ 443_ 454_ 497_ 498_ 505_ 537_ 548_ 694_ 868],4.6082,BPSO with ANN,19,0.3084,0.2512,0.3502,1.4022,1.0988,0.5634
[20_ 39_ 55_ 92_ 270_ 408_ 409_ 444_ 499_ 524_ 539_ 548_ 551_ 648_ 677_ 679_ 699],4.1748,BPSO with ANN,17,0.324,0.2509,0.3776,1.3723,1.0977,0.5493
[39_ 104_ 108_ 147_ 302_ 305_ 336_ 363_ 368_ 699_ 867],2.9416,BPSO with ANN,11,0.2855,0.2504,0.3948,1.3532,1.0633,0.5493
[39_ 58_ 69_ 149_ 199_ 306_ 327_ 381_ 416_ 442_ 515_ 534_ 535_ 563_ 649],3.7855,BPSO with ANN,15,0.2793,0.249,0.3494,1.403,1.1366,0.507
[39_ 47_ 80_ 125_ 159_ 263_ 270_ 329_ 356_ 421_ 492_ 527_ 558_ 678],3.5654,BPSO with ANN,14,0.2954,0.2459,0.3555,1.3964,1.1227,0.5352
[0_ 39_ 90_ 106_ 160_ 168_ 170_ 174_ 206_ 223_ 230_ 238_ 276_ 305_ 354_ 365_ 371_ 435_ 870],4.6094,BPSO with ANN,19,0.311,0.244,0.3357,1.4178,1.1034,0.5634
[39_ 138_ 263_ 289_ 390_ 410_ 430_ 539_ 816],2.534,BPSO with ANN,9,0.2739,0.2436,0.3422,1.4108,1.122,0.5352
[39_ 71_ 98_ 140_ 172_ 352_ 353_ 403_ 452_ 465_ 491_ 539_ 560],3.347,BPSO with ANN,13,0.3101,0.2418,0.3724,1.378,1.1005,0.5915
[137_ 270_ 278_ 319_ 332_ 450_ 472_ 494_ 697],2.5549,BPSO with ANN,9,0.2455,0.2381,0.245,1.5114,1.2881,0.4366
[39_ 95_ 282_ 320_ 403_ 475_ 491_ 631_ 695_ 699_ 865],2.9504,BPSO with ANN,11,0.2797,0.2376,0.3701,1.3806,1.1072,0.507
[16_ 93_ 104_ 132_ 241_ 245_ 248_ 319_ 325_ 349_ 483_ 492_ 527_ 557_ 938],3.8573,BPSO with ANN,15,0.1796,0.2365,0.1625,1.5919,1.3335,0.4085
[36_ 39_ 139_ 161_ 162_ 200_ 203_ 209_ 211_ 238_ 261_ 350_ 425_ 569],3.5722,BPSO with ANN,14,0.2911,0.2362,0.3785,1.3713,1.1014,0.5775
[39_ 96_ 169_ 176_ 203_ 212_ 219_ 235_ 276_ 381_ 397_ 495_ 505_ 690_ 700_ 937],3.999,BPSO with ANN,16,0.2825,0.2359,0.3374,1.4159,1.1057,0.493
[39_ 119_ 138_ 172_ 182_ 306_ 309_ 323_ 373_ 440_ 524_ 676_ 907],3.3769,BPSO with ANN,13,0.2697,0.2359,0.3545,1.3975,1.1112,0.5211
[39_ 78_ 130_ 336_ 373_ 400_ 456_ 541_ 865],2.5075,BPSO with ANN,9,0.3174,0.2356,0.3852,1.3639,1.0664,0.5493
[39_ 43_ 44_ 248_ 369_ 373_ 440_ 450_ 508],2.5128,BPSO with ANN,9,0.31,0.2349,0.3656,1.3855,1.0801,0.5634
[39_ 54_ 270_ 278_ 281_ 343_ 364_ 453_ 469_ 522_ 542_ 930],3.1721,BPSO with ANN,12,0.2631,0.2347,0.3592,1.3925,1.1339,0.507
[39_ 43_ 69_ 100_ 122_ 230_ 241_ 260_ 326_ 366_ 405_ 488_ 505_ 615_ 648_ 693],3.9913,BPSO with ANN,16,0.2946,0.2345,0.3303,1.4235,1.1313,0.5352
[4_ 39_ 74_ 140_ 324_ 352_ 394_ 422_ 470_ 511_ 839],2.9291,BPSO with ANN,11,0.3129,0.2341,0.3643,1.3868,1.1025,0.5775
