Descriptor ID,Fitness,Algorithm,Dimen,R2_Train,R2_Valid,R2_Test,RMSE,MAE,Pred Acc
[45_ 117_ 129_ 162_ 212_ 276_ 361_ 464_ 475_ 518_ 872],2.6769,BPSO with SVM,11,0.4689,0.559,0.546,1.1721,0.9346,0.6338
[59_ 154_ 276_ 305_ 417_ 527_ 872],1.8461,BPSO with SVM,7,0.4725,0.5588,0.5456,1.1725,0.9363,0.6197
[112_ 229_ 276_ 396_ 539_ 547_ 872],1.8457,BPSO with SVM,7,0.4729,0.5588,0.5457,1.1724,0.9361,0.6197
[130_ 244_ 276_ 298_ 448_ 872],1.3382,BPSO with SVM,6,0.4746,0.5579,0.5441,1.1745,0.9379,0.6197
[117_ 120_ 135_ 150_ 185_ 189_ 218_ 222_ 248_ 276_ 394_ 446_ 447_ 544_ 567_ 872],3.7085,BPSO with SVM,16,0.4792,0.5578,0.5464,1.1715,0.9284,0.6056
[103_ 238_ 276_ 280_ 298_ 390_ 409_ 414_ 435_ 527_ 545_ 872],2.8741,BPSO with SVM,12,0.4821,0.5575,0.5477,1.1698,0.9344,0.6197
[58_ 99_ 118_ 189_ 205_ 276_ 315_ 353_ 428_ 464_ 472_ 555_ 679_ 872],3.2964,BPSO with SVM,14,0.4741,0.5574,0.5507,1.1659,0.9301,0.6338
[97_ 100_ 115_ 276_ 327_ 438_ 483_ 545_ 557_ 872],2.4687,BPSO with SVM,10,0.4711,0.557,0.5371,1.1835,0.9438,0.6056
[16_ 59_ 198_ 349_ 378_ 411_ 421_ 511_ 534_ 676],2.4261,BPSO with SVM,10,0.5222,0.5569,0.5485,1.1688,0.9306,0.6056
[49_ 206_ 276_ 512_ 567_ 872_ 929],1.842,BPSO with SVM,7,0.4786,0.5568,0.5447,1.1737,0.9389,0.6338
[20_ 42_ 276_ 353_ 384_ 407_ 410_ 429_ 434_ 531_ 541_ 566_ 872],3.0752,BPSO with SVM,13,0.4905,0.5566,0.5666,1.1451,0.9129,0.6197
[103_ 135_ 143_ 276_ 330_ 341_ 408_ 529_ 693_ 872_ 908],2.652,BPSO with SVM,11,0.5003,0.5564,0.5439,1.1747,0.945,0.6338
[79_ 194_ 234_ 307_ 317_ 332_ 342_ 432_ 478_ 484],2.5643,BPSO with SVM,10,0.3504,0.556,0.3379,1.4154,1.1441,0.493
[16_ 30_ 91_ 162_ 365_ 378_ 401_ 403_ 444],2.317,BPSO with SVM,9,0.4024,0.5558,0.4582,1.2804,1.0425,0.5634
[89_ 106_ 207_ 276_ 447_ 545_ 872],1.842,BPSO with SVM,7,0.4795,0.5551,0.5467,1.1711,0.93,0.6197
[54_ 74_ 101_ 276_ 280_ 333_ 388_ 417_ 501_ 679_ 872],2.678,BPSO with SVM,11,0.4705,0.5536,0.5498,1.1672,0.9358,0.6338
[120_ 142_ 179_ 189_ 225_ 241_ 255_ 276_ 279_ 316_ 526_ 696_ 929],3.0957,BPSO with SVM,13,0.4685,0.5518,0.4616,1.2763,1.0008,0.6056
[93_ 136_ 154_ 185_ 276_ 320_ 322_ 323_ 458_ 493_ 525_ 871_ 872_ 906],3.2852,BPSO with SVM,14,0.4908,0.5517,0.5437,1.175,0.9316,0.6197
[50_ 231_ 239_ 317_ 359_ 386_ 413_ 432],2.1713,BPSO with SVM,8,0.3241,0.5515,0.3235,1.4307,1.1521,0.5211
[197_ 226_ 276_ 285_ 295_ 387_ 407_ 433_ 483_ 872],2.456,BPSO with SVM,10,0.4899,0.5508,0.538,1.1823,0.9384,0.6197
[213_ 231_ 281_ 292_ 317_ 414_ 432_ 504_ 543],2.3812,BPSO with SVM,9,0.3214,0.5501,0.3221,1.4322,1.1533,0.507
[174_ 284_ 377_ 396_ 409_ 546_ 907],1.8944,BPSO with SVM,7,0.417,0.5493,0.4299,1.3134,1.0508,0.5775
[43_ 171_ 237_ 317_ 348_ 425_ 427_ 432_ 505],2.3329,BPSO with SVM,9,0.3856,0.5491,0.3706,1.38,1.1164,0.4789
[64_ 80_ 102_ 176_ 317_ 432_ 512_ 526],2.157,BPSO with SVM,8,0.3449,0.5484,0.3335,1.42,1.1505,0.493
[71_ 202_ 223_ 284_ 298_ 354_ 377_ 539_ 564_ 907],2.5129,BPSO with SVM,10,0.421,0.5483,0.4573,1.2814,1.0376,0.5634
