Descriptor ID,Fitness,Algorithm,Dimention,R2_Train,R2_Valid,R2_Test,RMSE,MAE,Accuracy
[58_ 163_ 177_ 211_ 394_ 396_ 400_ 489_ 509_ 520_ 536_ 545_ 547_ 648_ 649],3.4431,DE_BPSO with MLR,15,0.5108,0.6183,0.6204,1.0717,0.8679,0.6197
[55_ 57_ 58_ 113_ 180_ 245_ 369_ 408_ 435_ 480_ 497_ 516_ 526_ 572_ 700],3.4233,DE_BPSO with MLR,15,0.5335,0.6179,0.5539,1.1617,0.9648,0.5352
[59_ 100_ 157_ 159_ 175_ 229_ 241_ 280_ 330_ 379_ 403_ 475_ 691],3.0607,DE_BPSO with MLR,13,0.5212,0.6177,0.5326,1.1892,0.9556,0.5915
[16_ 54_ 73_ 109_ 126_ 204_ 217_ 263_ 319_ 394_ 422_ 444_ 486],3.0703,DE_BPSO with MLR,13,0.5984,0.6168,0.5218,1.2029,0.9427,0.5634
[16_ 242_ 260_ 276_ 294_ 321_ 384_ 445_ 536_ 574_ 692],2.6328,DE_BPSO with MLR,11,0.4898,0.6158,0.5359,1.185,0.9609,0.5775
[15_ 78_ 157_ 192_ 328_ 494_ 549_ 556],2.0769,DE_BPSO with MLR,8,0.5212,0.6155,0.4247,1.3194,1.0566,0.5493
[5_ 30_ 35_ 55_ 66_ 93_ 103_ 135_ 289_ 371_ 375_ 491_ 648_ 866],3.2207,DE_BPSO with MLR,14,0.5294,0.6152,0.5335,1.1881,0.9477,0.5775
[3_ 15_ 47_ 54_ 163_ 166_ 197_ 200_ 220_ 238_ 304_ 425_ 521_ 937],3.2801,DE_BPSO with MLR,14,0.4605,0.6151,0.5445,1.1739,0.9651,0.5634
[53_ 135_ 149_ 215_ 219_ 282_ 409_ 536_ 557_ 826],2.3611,DE_BPSO with MLR,10,0.5649,0.6147,0.5401,1.1796,0.9499,0.5775
[54_ 125_ 126_ 212_ 287_ 316_ 356_ 368_ 497_ 549_ 699],2.6603,DE_BPSO with MLR,11,0.4582,0.614,0.5212,1.1692,0.9277,0.6056
[149_ 172_ 188_ 207_ 229_ 382_ 501_ 530_ 566_ 574_ 702],2.5897,DE_BPSO with MLR,11,0.5407,0.6139,0.5401,1.2802,1.027,0.5352
[59_ 62_ 90_ 100_ 126_ 231_ 301_ 538_ 907],2.2406,DE_BPSO with MLR,9,0.5984,0.6139,0.5885,1.3423,0.9995,0.6197
[5_ 32_ 36_ 58_ 157_ 222_ 369_ 432_ 445],2.1914,DE_BPSO with MLR,9,0.5234,0.6139,0.5359,1.1851,0.9557,0.662
[32_ 36_ 107_ 120_ 179_ 217_ 240_ 270_ 321_ 326_ 366_ 470_ 523_ 677_ 880],3.5024,DE_BPSO with MLR,15,0.5335,0.6138,0.5212,1.3055,1.0637,0.6056
[16_ 33_ 36_ 104_ 144_ 325_ 508],1.8791,DE_BPSO with MLR,7,0.5885,0.6138,0.4934,1.238,1.0031,0.5915
[1_ 70_ 97_ 100_ 224_ 231_ 324_ 362_ 429_ 431_ 440_ 489_ 567_ 615_ 869],3.4781,DE_BPSO with MLR,15,0.5874,0.6132,0.5774,1.5238,1.1314,0.5493
[58_ 151_ 162_ 174_ 297_ 325_ 338_ 359_ 414_ 536_ 694],2.6546,DE_BPSO with MLR,11,0.5932,0.6131,0.5757,1.133,0.9115,0.6338
[100_ 160_ 247_ 254_ 260_ 285_ 347_ 375_ 380_ 531],2.4604,DE_BPSO with MLR,10,0.5931,0.613,0.5416,1.1777,0.9321,0.5775
[6_ 35_ 94_ 114_ 149_ 373_ 438_ 544_ 695_ 702],2.4412,DE_BPSO with MLR,10,0.593,0.6127,0.5212,1.3236,1.061,0.5493
[5_ 15_ 90_ 211_ 238_ 241_ 311_ 355_ 402_ 415_ 436_ 503_ 507_ 566_ 867],3.412,DE_BPSO with MLR,15,0.5929,0.6126,0.5731,1.1365,0.9047,0.6338
[42_ 54_ 101_ 184_ 234_ 263_ 272_ 291_ 331_ 432_ 448_ 651_ 871],3.065,DE_BPSO with MLR,13,0.5927,0.6122,0.5507,1.1659,0.9646,0.5775
[5_ 16_ 118_ 168_ 254_ 275_ 423_ 440_ 530_ 939],2.4527,DE_BPSO with MLR,10,0.5932,0.6115,0.5335,1.2764,0.9811,0.6197
[49_ 94_ 184_ 225_ 233_ 245_ 289_ 309_ 459_ 522_ 700_ 872],2.8912,DE_BPSO with MLR,12,0.5931,0.6101,0.6005,1.0994,0.841,0.6901
[87_ 96_ 239_ 241_ 277_ 331_ 348_ 352_ 367_ 570_ 692],2.6615,DE_BPSO with MLR,11,0.593,0.61,0.5874,1.1173,0.8447,0.6479
[71_ 86_ 98_ 111_ 247_ 373_ 445_ 468_ 501_ 510_ 872],2.6799,DE_BPSO with MLR,11,0.5929,0.6098,0.5984,1.3053,1.0454,0.5915
[15_ 38_ 65_ 78_ 133_ 184_ 250_ 404_ 430_ 541_ 698],2.6811,DE_BPSO with MLR,11,0.5927,0.6098,0.5007,1.2291,0.9686,0.5634
[36_ 38_ 68_ 71_ 94_ 143_ 168_ 364_ 413_ 450_ 532_ 907],2.9048,DE_BPSO with MLR,12,0.5774,0.6093,0.4436,1.2975,1.039,0.5915
[54_ 138_ 174_ 215_ 220_ 407_ 428_ 494_ 929],2.2785,DE_BPSO with MLR,9,0.5757,0.6091,0.4913,1.2407,0.9658,0.5915
[15_ 67_ 95_ 106_ 188_ 325_ 431],1.8651,DE_BPSO with MLR,7,0.5416,0.6091,0.469,1.2676,1.02,0.5915
[30_ 54_ 81_ 122_ 155_ 221_ 260_ 261_ 289_ 319_ 424_ 497_ 702],3.0833,DE_BPSO with MLR,13,0.5212,0.6085,0.5094,1.2183,0.928,0.6338
